N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
298,2720,8.9809232786947,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
362,2153,8.9809232786947,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
426,1586,8.9809232786947,52,200,0.26,0.2041383002358024,0.32490745656529973,False,insufficient,200,,
490,1019,8.9809232786947,88,200,0.44,0.3729781920017676,0.5092832471985078,False,insufficient,200,,
554,452,8.9809232786947,138,200,0.69,0.6228282237882907,0.7500105520775032,False,insufficient,200,,
42,4988,8.980923278694702,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
49,4926,8.98094945863348,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
113,4359,8.98094945863348,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
177,3792,8.98094945863348,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
241,3225,8.98094945863348,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
305,2658,8.98094945863348,13,200,0.065,0.03837635449161451,0.10801907971038324,False,insufficient,200,,
369,2091,8.98094945863348,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
433,1524,8.98094945863348,57,200,0.285,0.22695002962622268,0.35115346084143123,False,insufficient,200,,
497,957,8.98094945863348,93,200,0.465,0.3971856410502652,0.5341335318165621,False,insufficient,200,,
561,390,8.98094945863348,148,200,0.74,0.6750925434347002,0.7958616997641975,False,insufficient,200,,
568,328,8.980975638572259,154,200,0.77,0.7069169558159164,0.8229065677828437,False,insufficient,200,,
56,4864,8.98097563857226,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
120,4297,8.98097563857226,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
184,3730,8.98097563857226,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
248,3163,8.98097563857226,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
312,2596,8.98097563857226,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
376,2029,8.98097563857226,24,200,0.12,0.0819799268161472,0.17234252145226464,False,insufficient,200,,
440,1462,8.98097563857226,61,200,0.305,0.2453641558726048,0.3719855215282907,False,insufficient,200,,
504,895,8.98097563857226,102,200,0.51,0.44118587625055616,0.5784372172160646,False,insufficient,200,,
63,4802,8.98100181851104,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
127,4235,8.98100181851104,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
191,3668,8.98100181851104,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
255,3101,8.98100181851104,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
319,2534,8.98100181851104,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
383,1967,8.98100181851104,27,200,0.135,0.09446570427968658,0.18929138418865638,False,insufficient,200,,
447,1400,8.98100181851104,63,200,0.315,0.2546232094605245,0.38234956140699167,False,insufficient,200,,
511,833,8.98100181851104,105,200,0.525,0.45597395960896836,0.5930837740575836,False,insufficient,200,,
575,266,8.98100181851104,158,200,0.79,0.7283538308774716,0.84071587965453,False,insufficient,200,,
262,3039,8.98102799844982,5,200,0.025,0.010724719583860124,0.05717834075165468,False,insufficient,200,,
326,2472,8.98102799844982,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
390,1905,8.98102799844982,30,200,0.15,0.10713593533492477,0.20605579333334925,False,insufficient,200,,
454,1338,8.98102799844982,68,200,0.34,0.2779154592508567,0.4081150452832114,False,insufficient,200,,
518,771,8.98102799844982,112,200,0.56,0.4907167528014922,0.6270218079982324,False,insufficient,200,,
6,5307,8.981027998449822,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
70,4740,8.981027998449822,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
134,4173,8.981027998449822,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
198,3606,8.981027998449822,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
582,204,8.981027998449822,162,200,0.81,0.7499876124094633,0.8583282850557797,False,insufficient,200,,
13,5245,8.9810541783886,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
