N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper
7,5293,8.972414798591227,0,100,0.0,0.0,0.03699349876899627
7,5294,8.974090314673143,0,100,0.0,0.0,0.03699349876899627
7,5295,8.975765830755057,0,100,0.0,0.0,0.03699349876899627
7,5296,8.977441346836972,0,100,0.0,0.0,0.03699349876899627
7,5297,8.979116862918886,0,100,0.0,0.0,0.03699349876899627
7,5298,8.980792379000802,0,200,0.0,0.0,0.018845326668962936
7,5303,8.989169959410374,0,25,0.0,0.0,0.13319225276039096
7,5306,8.994196507656117,0,200,0.0,0.0,0.018845326668962936
7,5338,9.047813022277383,0,200,0.0,0.0,0.018845326668962936
7,5346,9.0612171509327,0,200,0.0,0.0,0.018845326668962936
7,5354,9.074621279588015,0,200,0.0,0.0,0.018845326668962936
8,2635,4.5337370781505495,0,25,0.0,0.0,0.13319225276039096
8,3988,6.800710336980945,0,25,0.0,0.0,0.13319225276039096
8,4665,7.935034724437099,0,25,0.0,0.0,0.13319225276039096
8,5003,8.501359160124219,0,25,0.0,0.0,0.13319225276039096
8,5173,8.786196894049693,0,25,0.0,0.0,0.13319225276039096
8,5257,8.926940244930517,0,25,0.0,0.0,0.13319225276039096
8,5278,8.962126082650723,0,25,0.0,0.0,0.13319225276039096
8,5281,8.967152630896466,0,100,0.0,0.0,0.03699349876899627
8,5282,8.96882814697838,0,100,0.0,0.0,0.03699349876899627
8,5283,8.970503663060295,0,100,0.0,0.0,0.03699349876899627
8,5284,8.97217917914221,0,100,0.0,0.0,0.03699349876899627
8,5285,8.973854695224125,0,100,0.0,0.0,0.03699349876899627
8,5286,8.975530211306038,0,100,0.0,0.0,0.03699349876899627
8,5287,8.977205727387954,0,100,0.0,0.0,0.03699349876899627
8,5288,8.978881243469868,0,100,0.0,0.0,0.03699349876899627
8,5289,8.980556759551783,0,200,0.0,0.0,0.018845326668962936
8,5294,8.988934339961355,0,25,0.0,0.0,0.13319225276039096
8,5297,8.993960888207098,0,200,0.0,0.0,0.018845326668962936
8,5329,9.047577402828365,0,200,0.0,0.0,0.018845326668962936
8,5337,9.060981531483682,0,200,0.0,0.0,0.018845326668962936
8,5345,9.074385660138997,0,200,0.0,0.0,0.018845326668962936
9,2626,4.533501458701531,0,25,0.0,0.0,0.13319225276039096
9,3980,6.80215023361384,0,25,0.0,0.0,0.13319225276039096
9,4656,7.93479910498808,0,25,0.0,0.0,0.13319225276039096
9,4995,8.502799056757114,0,25,0.0,0.0,0.13319225276039096
9,5164,8.785961274600673,0,25,0.0,0.0,0.13319225276039096
9,5248,8.926704625481497,0,25,0.0,0.0,0.13319225276039096
9,5269,8.961890463201701,0,25,0.0,0.0,0.13319225276039096
9,5273,8.96859252752936,0,100,0.0,0.0,0.03699349876899627
9,5274,8.970268043611275,0,100,0.0,0.0,0.03699349876899627
9,5275,8.97194355969319,0,100,0.0,0.0,0.03699349876899627
9,5276,8.973619075775105,0,100,0.0,0.0,0.03699349876899627
9,5277,8.975294591857018,0,100,0.0,0.0,0.03699349876899627
9,5278,8.976970107938934,0,100,0.0,0.0,0.03699349876899627
9,5279,8.978645624020848,0,100,0.0,0.0,0.03699349876899627
9,5280,8.980321140102763,0,100,0.0,0.0,0.03699349876899627
9,5281,8.981996656184677,0,200,0.0,0.0,0.018845326668962936
9,5285,8.988698720512335,0,25,0.0,0.0,0.13319225276039096
9,5288,8.993725268758078,0,25,0.0,0.0,0.13319225276039096
9,5289,8.995400784839994,0,200,0.0,0.0,0.018845326668962936
9,5321,9.049017299461259,0,200,0.0,0.0,0.018845326668962936
9,5329,9.062421428116576,0,200,0.0,0.0,0.018845326668962936
9,5337,9.075825556771893,0,200,0.0,0.0,0.018845326668962936
10,2617,4.533265839252511,0,25,0.0,0.0,0.13319225276039096
10,3971,6.80191461416482,0,25,0.0,0.0,0.13319225276039096
10,4647,7.93456348553906,0,25,0.0,0.0,0.13319225276039096
10,4986,8.502563437308096,0,25,0.0,0.0,0.13319225276039096
10,5155,8.785725655151655,0,25,0.0,0.0,0.13319225276039096
10,5239,8.926469006032479,0,25,0.0,0.0,0.13319225276039096
10,5261,8.963330359834599,0,25,0.0,0.0,0.13319225276039096
10,5264,8.968356908080342,0,100,0.0,0.0,0.03699349876899627
10,5265,8.970032424162257,0,100,0.0,0.0,0.03699349876899627
10,5266,8.97170794024417,0,100,0.0,0.0,0.03699349876899627
10,5267,8.973383456326086,0,100,0.0,0.0,0.03699349876899627
10,5268,8.975058972408,0,100,0.0,0.0,0.03699349876899627
10,5269,8.976734488489914,0,100,0.0,0.0,0.03699349876899627
10,5270,8.97841000457183,0,100,0.0,0.0,0.03699349876899627
10,5271,8.980085520653743,0,100,0.0,0.0,0.03699349876899627
10,5272,8.981761036735659,0,200,0.0,0.0,0.018845326668962936
10,5276,8.988463101063317,0,25,0.0,0.0,0.13319225276039096
10,5279,8.99348964930906,0,25,0.0,0.0,0.13319225276039096
