N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
399,1856,9.032523938029913,36,200,0.18,0.13294625827141174,0.2391147507967245,False,insufficient,200,,
463,1289,9.032523938029913,68,200,0.34,0.2779154592508567,0.4081150452832114,False,insufficient,200,,
527,722,9.032523938029913,123,200,0.615,0.5459986716511277,0.6796669032150108,False,insufficient,200,,
591,155,9.032523938029913,166,200,0.83,0.7718411632128768,0.8757209211856076,False,insufficient,200,,
143,4124,9.032523938029914,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
207,3557,9.032523938029914,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
271,2990,9.032523938029914,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
22,5196,9.032550117968693,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
86,4629,9.032550117968693,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
150,4062,9.032550117968693,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
214,3495,9.032550117968693,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
278,2928,9.032550117968693,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
342,2361,9.032550117968693,11,200,0.055,0.03098534156570805,0.09578699916966896,False,insufficient,200,,
406,1794,9.032550117968693,37,200,0.185,0.1373019276778717,0.24457062812357494,False,insufficient,200,,
470,1227,9.032550117968693,73,200,0.365,0.30140526417602626,0.4336829740245936,False,insufficient,200,,
534,660,9.032550117968693,126,200,0.63,0.5612262986885862,0.6938739163774834,False,insufficient,200,,
598,93,9.032550117968693,170,200,0.85,0.7939442066666507,0.8928640646650752,False,insufficient,200,,
285,2866,9.032576297907472,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
349,2299,9.032576297907472,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
413,1732,9.032576297907472,41,200,0.205,0.15486176168906182,0.2662569810456263,False,insufficient,200,,
477,1165,9.032576297907472,76,200,0.38,0.31559005800516143,0.44893282039538956,False,insufficient,200,,
541,598,9.032576297907472,133,200,0.665,0.5970219115283492,0.7267591306708931,False,insufficient,200,,
605,31,9.032576297907472,171,200,0.855,0.7995133242038862,0.8971064938611499,False,insufficient,200,,
29,5134,9.032576297907474,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
93,4567,9.032576297907474,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
157,4000,9.032576297907474,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
221,3433,9.032576297907474,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
36,5072,9.032602477846252,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
100,4505,9.032602477846252,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
484,1103,9.032602477846252,80,200,0.4,0.3346057851761492,0.46916328015764336,False,insufficient,200,,
548,536,9.032602477846252,135,200,0.675,0.607319850609677,0.7360842850561861,False,insufficient,200,,
164,3938,9.032602477846254,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
228,3371,9.032602477846254,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
292,2804,9.032602477846254,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
356,2237,9.032602477846254,20,200,0.1,0.06567044845124732,0.14940581288392302,False,insufficient,200,,
420,1670,9.032602477846254,44,200,0.22,0.1681653832242373,0.2823879997103819,False,insufficient,200,,
43,5010,9.032628657785033,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
107,4443,9.032628657785033,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
171,3876,9.032628657785033,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
235,3309,9.032628657785033,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
299,2742,9.032628657785033,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
363,2175,9.032628657785033,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
427,1608,9.032628657785033,48,200,0.24,0.1860661595414933,0.3037334103263674,False,insufficient,200,,
491,1041,9.032628657785033,87,200,0.435,0.36815725451898934,0.5042926379479759,False,insufficient,200,,
555,474,9.032628657785033,143,200,0.715,0.6488465391585686,0.7730499703737773,False,insufficient,200,,
306,2680,9.032654837723811,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
370,2113,9.032654837723811,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
434,1546,9.032654837723811,54,200,0.27,0.2132344977387029,0.33543435252902004,False,insufficient,200,,
498,979,9.032654837723811,93,200,0.465,0.3971856410502652,0.5341335318165621,False,insufficient,200,,
50,4948,9.032654837723813,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
114,4381,9.032654837723813,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
178,3814,9.032654837723813,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
242,3247,9.032654837723813,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
562,412,9.032654837723813,149,200,0.745,0.6803707412567906,0.8003950486754174,False,insufficient,200,,
185,3752,9.032681017662592,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
249,3185,9.032681017662592,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
57,4886,9.032681017662593,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
121,4319,9.032681017662593,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
313,2618,9.032681017662593,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
377,2051,9.032681017662593,27,200,0.135,0.09446570427968658,0.18929138418865638,False,insufficient,200,,
441,1484,9.032681017662593,58,200,0.29,0.23154025564693195,0.3563747815540324,False,insufficient,200,,
505,917,9.032681017662593,99,200,0.495,0.4264584530693174,0.5637300001973722,False,insufficient,200,,
569,350,9.032681017662593,154,200,0.77,0.7069169558159164,0.8229065677828437,False,insufficient,200,,
0,5391,9.032707197601372,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
64,4824,9.032707197601372,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
128,4257,9.032707197601372,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
192,3690,9.032707197601372,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
256,3123,9.032707197601372,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
320,2556,9.032707197601372,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
384,1989,9.032707197601372,29,200,0.145,0.10289350613885,0.20048667579611365,False,insufficient,200,,
448,1422,9.032707197601372,62,200,0.31,0.2499894479224967,0.37717177621170916,False,insufficient,200,,
512,855,9.032707197601372,105,200,0.525,0.45597395960896836,0.5930837740575836,False,insufficient,200,,
576,288,9.032707197601372,160,200,0.8,0.7391448129154138,0.8495479910832086,False,insufficient,200,,
7,5329,9.032733377540152,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
71,4762,9.032733377540152,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
135,4195,9.032733377540152,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
199,3628,9.032733377540152,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
263,3061,9.032733377540152,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
327,2494,9.032733377540152,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
391,1927,9.032733377540152,33,200,0.165,0.11996855297651625,0.22265781589168893,False,insufficient,200,,
455,1360,9.032733377540152,66,200,0.33,0.26857425825421716,0.3978331528132302,False,insufficient,200,,
519,793,9.032733377540152,114,200,0.57,0.5007048770948288,0.6366567771715163,False,insufficient,200,,
583,226,9.032733377540152,163,200,0.815,0.755429371876425,0.8626980723221283,False,insufficient,200,,
590,164,9.032759557478931,165,200,0.825,0.7663556880107202,0.8713948496544538,False,insufficient,200,,
14,5267,9.032759557478933,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
78,4700,9.032759557478933,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
142,4133,9.032759557478933,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
206,3566,9.032759557478933,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
270,2999,9.032759557478933,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
334,2432,9.032759557478933,11,200,0.055,0.03098534156570805,0.09578699916966896,False,insufficient,200,,
398,1865,9.032759557478933,35,200,0.175,0.1286051503455461,0.23364431198927976,False,insufficient,200,,
462,1298,9.032759557478933,67,200,0.335,0.27324086932910685,0.4029780884716509,False,insufficient,200,,
526,731,9.032759557478933,122,200,0.61,0.5409374590206674,0.6749165691121608,False,insufficient,200,,
21,5205,9.032785737417711,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
85,4638,9.032785737417711,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
149,4071,9.032785737417711,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
213,3504,9.032785737417711,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
277,2937,9.032785737417711,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
341,2370,9.032785737417711,11,200,0.055,0.03098534156570805,0.09578699916966896,False,insufficient,200,,
405,1803,9.032785737417711,37,200,0.185,0.1373019276778717,0.24457062812357494,False,insufficient,200,,
469,1236,9.032785737417711,72,200,0.36,0.2966919725753122,0.4285847188919973,False,insufficient,200,,
533,669,9.032785737417711,126,200,0.63,0.5612262986885862,0.6938739163774834,False,insufficient,200,,
597,102,9.032785737417711,170,200,0.85,0.7939442066666507,0.8928640646650752,False,insufficient,200,,
92,4576,9.032811917356492,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
156,4009,9.032811917356492,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
220,3442,9.032811917356492,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
284,2875,9.032811917356492,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
348,2308,9.032811917356492,13,200,0.065,0.03837635449161451,0.10801907971038324,False,insufficient,200,,
412,1741,9.032811917356492,41,200,0.205,0.15486176168906182,0.2662569810456263,False,insufficient,200,,
476,1174,9.032811917356492,74,200,0.37,0.30612608362251653,0.4387737013114137,False,insufficient,200,,
540,607,9.032811917356492,133,200,0.665,0.5970219115283492,0.7267591306708931,False,insufficient,200,,
604,40,9.032811917356492,171,200,0.855,0.7995133242038862,0.8971064938611499,False,insufficient,200,,
28,5143,9.032811917356494,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
35,5081,9.032838097295272,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
99,4514,9.032838097295272,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
163,3947,9.032838097295272,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
227,3380,9.032838097295272,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
291,2813,9.032838097295272,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
355,2246,9.032838097295272,19,200,0.095,0.061663102507449205,0.14360161209441077,False,insufficient,200,,
419,1679,9.032838097295272,43,200,0.215,0.16371876218582487,0.277023074015484,False,insufficient,200,,
483,1112,9.032838097295272,80,200,0.4,0.3346057851761492,0.46916328015764336,False,insufficient,200,,
547,545,9.032838097295272,134,200,0.67,0.6021668471867698,0.7314257417457829,False,insufficient,200,,
170,3885,9.03286427723405,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
234,3318,9.03286427723405,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
298,2751,9.03286427723405,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
362,2184,9.03286427723405,22,200,0.11,0.07377244436816725,0.16092691043362384,False,insufficient,200,,
426,1617,9.03286427723405,48,200,0.24,0.1860661595414933,0.3037334103263674,False,insufficient,200,,
490,1050,9.03286427723405,86,200,0.43,0.36334322282848375,0.4992951229051709,False,insufficient,200,,
554,483,9.03286427723405,143,200,0.715,0.6488465391585686,0.7730499703737773,False,insufficient,200,,
42,5019,9.032864277234053,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
106,4452,9.032864277234053,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
49,4957,9.032890457172831,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
305,2689,9.032890457172831,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
369,2122,9.032890457172831,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
433,1555,9.032890457172831,54,200,0.27,0.2132344977387029,0.33543435252902004,False,insufficient,200,,
497,988,9.032890457172831,92,200,0.46,0.39233051748177505,0.529177108651742,False,insufficient,200,,
561,421,9.032890457172831,148,200,0.74,0.6750925434347002,0.7958616997641975,False,insufficient,200,,
113,4390,9.032890457172833,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
177,3823,9.032890457172833,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
241,3256,9.032890457172833,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
56,4895,9.032916637111612,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
120,4328,9.032916637111612,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
184,3761,9.032916637111612,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
248,3194,9.032916637111612,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
312,2627,9.032916637111612,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
376,2060,9.032916637111612,26,200,0.13,0.09028202253521182,0.18366351919982074,False,insufficient,200,,
440,1493,9.032916637111612,55,200,0.275,0.21779700288091797,0.3406833941201153,False,insufficient,200,,
504,926,9.032916637111612,99,200,0.495,0.4264584530693174,0.5637300001973722,False,insufficient,200,,
568,359,9.032916637111612,154,200,0.77,0.7069169558159164,0.8229065677828437,False,insufficient,200,,
575,297,9.03294281705039,156,200,0.78,0.7176120002896181,0.8318346167757626,False,insufficient,200,,
63,4833,9.032942817050392,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
127,4266,9.032942817050392,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
191,3699,9.032942817050392,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
255,3132,9.032942817050392,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
319,2565,9.032942817050392,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
383,1998,9.032942817050392,28,200,0.14,0.09866982605979482,0.1948988091418585,False,insufficient,200,,
447,1431,9.032942817050392,62,200,0.31,0.2499894479224967,0.37717177621170916,False,insufficient,200,,
511,864,9.032942817050392,105,200,0.525,0.45597395960896836,0.5930837740575836,False,insufficient,200,,
454,1369,9.03296899698917,64,200,0.32,0.2592653327095053,0.38751898489132125,False,insufficient,200,,
518,802,9.03296899698917,114,200,0.57,0.5007048770948288,0.6366567771715163,False,insufficient,200,,
6,5338,9.032968996989172,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
70,4771,9.032968996989172,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
134,4204,9.032968996989172,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
198,3637,9.032968996989172,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
262,3070,9.032968996989172,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
326,2503,9.032968996989172,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
390,1936,9.032968996989172,32,200,0.16,0.11567412001614788,0.2171407021187469,False,insufficient,200,,
